Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100,CP_Radial_D8.0mm_P5.00mm,153.5,-107.402651,90.0,top
C2,330,CP_Radial_D8.0mm_P5.00mm,82.647349,-94.615,0.0,top
C3,220nf,C_0805_2012Metric,209.525,-75.825,0.0,top
D1,1N5819WS,D_A-405_P7.62mm_Horizontal,102.87,-98.552,-90.0,top
D10,1N5819WS,D_A-405_P7.62mm_Horizontal,120.65,-54.61,0.0,top
D2,1N5819WS,D_SOD-323,187.48,-44.905,0.0,top
D3,1N5819WS,D_SOD-323,187.48,-47.855,0.0,top
D4,1N5819WS,D_SOD-323,187.48,-50.805,0.0,top
D5,1N5819WS,D_SOD-323,187.48,-53.755,0.0,top
D6,1N5819WS,D_SOD-323,187.48,-56.705,0.0,top
D7,1N5819WS,D_SOD-323,187.48,-59.655,0.0,top
D8,1N5819WS,D_SOD-323,187.48,-62.605,0.0,top
D9,1N5819WS,D_SOD-323,187.48,-65.555,0.0,top
L1,330,L_Radial_D12.0mm_P5.00mm_Fastron_11P,185.5,-89.0,0.0,top
Q1,TSM2302CX,SOT-23,192.045,-45.83,0.0,top
Q2,TSM2302CX,SOT-23,192.045,-50.455,0.0,top
Q3,TSM2302CX,SOT-23,196.935,-45.83,0.0,top
Q4,TSM2302CX,SOT-23,196.935,-50.455,0.0,top
Q5,TSM2302CX,SOT-23,201.825,-45.83,0.0,top
Q6,TSM2302CX,SOT-23,201.825,-50.455,0.0,top
Q7,TSM2302CX,SOT-23,206.715,-45.83,0.0,top
Q8,TSM2302CX,SOT-23,206.715,-50.455,0.0,top
R1,100,R_0603_1608Metric,209.305,-53.935,0.0,top
R10,10k,R_0603_1608Metric,213.315,-61.465,0.0,top
R11,100,R_0603_1608Metric,213.315,-63.975,0.0,top
R12,10k,R_0603_1608Metric,213.315,-66.485,0.0,top
R13,100,R_0603_1608Metric,217.325,-53.935,0.0,top
R14,10k,R_0603_1608Metric,217.325,-56.445,0.0,top
R15,100,R_0603_1608Metric,217.325,-58.955,0.0,top
R16,10k,R_0603_1608Metric,217.325,-61.465,0.0,top
R2,10k,R_0603_1608Metric,209.305,-56.445,0.0,top
R3,100,R_0603_1608Metric,209.305,-58.955,0.0,top
R4,10k,R_0603_1608Metric,209.305,-61.465,0.0,top
R5,100,R_0603_1608Metric,209.305,-63.975,0.0,top
R6,10k,R_0603_1608Metric,209.305,-66.485,0.0,top
R7,100,R_0603_1608Metric,213.315,-53.935,0.0,top
R8,10k,R_0603_1608Metric,213.315,-56.445,0.0,top
R9,100,R_0603_1608Metric,213.315,-58.955,0.0,top
SW0,GP20,SW_PUSH_6mm,56.44,-106.39,0.0,top
SW1,GP21,SW_PUSH_6mm,88.9,-106.39,0.0,top
SW2,GP22,SW_PUSH_6mm,121.21,-106.39,0.0,top
U2,LM2575-5.0BT,TO-263-5_TabPin3,198.45,-58.855,0.0,top
U4,A4950E,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm,211.525,-71.095,0.0,top
